ID,Title,Category / Epic,Priority / MoSCoW,Status,Owner,Product Requirement Link,Description,Acceptance Criteria,Dependencies,Non-Functional Needs,Error / Edge Cases,Technical Notes,Data / Fields,Platform / Scope,Testing Notes
FR-01,Email/Password Registration,User Onboarding & Profile Management,Must Have,To Do,Developer,PR-01,The system shall allow a new user to register for an account using a valid email address and a secure password.,"Given a user provides a valid email and password, when they submit the registration form, then a new user account is created.",,Password strength enforcement,User enters an invalid email format; User enters a password that does not meet security requirements; User tries to register with an email that already exists.,,"email, password","iOS, Android",Test with valid and invalid email formats; Test password strength rules; Test registration with an existing email.
FR-02,Social Login (Google/Apple),User Onboarding & Profile Management,Must Have,To Do,Developer,PR-01,The system shall allow a new user to register and log in using their Google or Apple account.,"Given a user selects a social login option, when they successfully authenticate with the provider, then a new user account is created and they are logged in.",OAuth 2.0 integration,Secure handling of social login tokens,User denies permission from the social provider; API from the social provider is unavailable.,API keys for Google and Apple developer accounts,"User profile data from social provider (name, email)","iOS, Android",Test successful social login; Test handling of user denial; Test error handling for API unavailability.
FR-03,User Login,User Onboarding & Profile Management,Must Have,To Do,Developer,PR-01,The system shall allow a registered user to log in using their email and password.,"Given a registered user provides their correct email and password, when they submit the login form, then they are authenticated and granted access to the app.",,,User enters incorrect credentials; User account is locked.,,"email, password","iOS, Android",Test login with correct and incorrect credentials; Test handling of locked accounts.
FR-04,Demographic Information Capture,User Onboarding & Profile Management,Must Have,To Do,Developer,PR-02,"The system shall provide dropdown selections for demographic details: Gender (Man, Woman, Non-Binary, Rather Not Say), Sexual Orientation (Straight, Gay, Bisexual, Rather Not Say), Relationship Construct (Monogamous, Open, Rather Not Say).","Given a user is in profile setup, when they select demographic options from dropdowns, then the data is saved. If 'Rather Not Say' is selected, system assumes gender/orientation compatible with all users and relationship construct is Open.",,,User skips this step.,,"gender, sexual_orientation, relationship_structure","iOS, Android",Test saving of demographic data; Test that the user can proceed without filling out this information.
FR-05,Intimacy Profile Survey Presentation,User Onboarding & Profile Management,Must Have,To Do,Developer,PR-03,The system shall present the intimacy profile survey to the user in a clear and engaging format.,"Given a user starts the intimacy profile survey, when they are presented with a question, then the question and possible answers are displayed clearly.",,,,,"survey_questions, survey_answers","iOS, Android",Test that all survey questions and answers are displayed correctly.
FR-06,Intimacy Profile Survey Auto-Save,User Onboarding & Profile Management,Must Have,To Do,Developer,PR-03,The system shall automatically save the user's survey progress as they navigate through the survey.,"Given a user is taking the survey, when they click 'next page' or navigate to the next question, then their current answers are automatically saved.",,,User quits the app midway through the survey.,,"user_id, survey_answers","iOS, Android",Test that survey answers are saved correctly; Test that the app can handle incomplete surveys.
FR-07,Intimacy Profile Generation,User Onboarding & Profile Management,Must Have,To Do,Developer,PR-04,The system shall generate an intimacy profile assessment based on the user's survey answers.,"Given a user has completed the survey, when they view their profile, then a personalized intimacy assessment is displayed.",AI integration for profile assessment,,The AI service is unavailable.,Algorithm for generating the assessment,user_survey_answers,"iOS, Android",Test the accuracy and relevance of the generated profile; Test error handling for AI service unavailability.
FR-08,Anonymous Mode,User Onboarding & Profile Management,Must Have,To Do,Developer,PR-05,"The system shall allow users to use the app in an anonymous mode, which does not require registration.","Given a new user opens the app, when they select the anonymous mode, then they can access limited features without creating an account.",,,,,,"iOS, Android",Test that anonymous users can access the specified limited features; Test that anonymous users are prompted to register for full access.
FR-09,Single-Player ToD Game Setup,Truth or Dare Game,Must Have,To Do,Developer,PR-08,The system shall allow a user to start a single-player Truth or Dare game with an anonymous opponent.,"Given a user selects the single-player ToD mode, when they start the game, then a new game session is created with an anonymous opponent.",,,,,,"iOS, Android",Test that a single-player game can be started successfully.
FR-10,Partner Connection,Truth or Dare Game,Must Have,To Do,Developer,PR-09,The system shall allow a user to connect with a partner's account to play a two-player Truth or Dare game.,"Given a user wants to play with a partner, when they send a connection request and the partner accepts, then their accounts are linked for the game session.",,,Partner declines the connection request; Partner is not found.,,"user_id, partner_user_id","iOS, Android","Test the partner connection flow, including sending, accepting, and declining requests."
