id,chapter,type,prompt,options,maps
A1,Arousal (SES/SIS),likert7,"When I encounter erotic cues, I become aroused quickly.","1=Strongly disagree ... 7=Strongly agree","{""factor"":""SE""}"
A2,Arousal (SES/SIS),likert7,"New or surprising sexual situations turn me on.","1=Strongly disagree ... 7=Strongly agree","{""factor"":""SE""}"
A3,Arousal (SES/SIS),likert7,"Imagining sexual scenarios is enough to get me excited.","1=Strongly disagree ... 7=Strongly agree","{""factor"":""SE""}"
A4,Arousal (SES/SIS),likert7,"Seeing my partner in revealing outfits or settings turns me on.","1=Strongly disagree ... 7=Strongly agree","{""factor"":""SE""}"
A5,Arousal (SES/SIS),likert7,"Playful risk (within boundaries) increases my arousal.","1=Strongly disagree ... 7=Strongly agree","{""factor"":""SE""}"
A6,Arousal (SES/SIS),likert7,"Watching or being watched in private settings excites me.","1=Strongly disagree ... 7=Strongly agree","{""factor"":""SE""}"
A7,Arousal (SES/SIS),likert7,"Gentle, sensual touch gets me aroused.","1=Strongly disagree ... 7=Strongly agree","{""factor"":""SE""}"
A8,Arousal (SES/SIS),likert7,"Romantic atmosphere (lighting, music) boosts my arousal.","1=Strongly disagree ... 7=Strongly agree","{""factor"":""SE""}"
A9,Arousal (SES/SIS),likert7,"If I think my technique is being judged, my arousal drops.","1=Strongly disagree ... 7=Strongly agree","{""factor"":""SIS_P""}"
A10,Arousal (SES/SIS),likert7,"Worrying I might not perform well reduces my desire.","1=Strongly disagree ... 7=Strongly agree","{""factor"":""SIS_P""}"
A11,Arousal (SES/SIS),likert7,"If I feel evaluated or compared, I lose interest.","1=Strongly disagree ... 7=Strongly agree","{""factor"":""SIS_P""}"
A12,Arousal (SES/SIS),likert7,"If I am unsure what my partner wants, I lose momentum.","1=Strongly disagree ... 7=Strongly agree","{""factor"":""SIS_P""}"
A13,Arousal (SES/SIS),likert7,"Feeling rushed or on-the-spot cools me down.","1=Strongly disagree ... 7=Strongly agree","{""factor"":""SIS_P""}"
A14,Arousal (SES/SIS),likert7,"If I cannot read my partner's reactions, I hesitate.","1=Strongly disagree ... 7=Strongly agree","{""factor"":""SIS_P""}"
A15,Arousal (SES/SIS),likert7,"Concerns about appearance make me less aroused.","1=Strongly disagree ... 7=Strongly agree","{""factor"":""SIS_P""}"
A16,Arousal (SES/SIS),likert7,"If I sense disapproval, my arousal fades.","1=Strongly disagree ... 7=Strongly agree","{""factor"":""SIS_P""}"
A17,Arousal (SES/SIS),likert7,"If there is a chance of someone walking in, my arousal drops.","1=Strongly disagree ... 7=Strongly agree","{""factor"":""SIS_C""}"
A18,Arousal (SES/SIS),likert7,"If the setting feels unsafe or too exposed, I pull back.","1=Strongly disagree ... 7=Strongly agree","{""factor"":""SIS_C""}"
A19,Arousal (SES/SIS),likert7,"If there could be social consequences, I lose desire.","1=Strongly disagree ... 7=Strongly agree","{""factor"":""SIS_C""}"
A20,Arousal (SES/SIS),likert7,"Legal or consent worries cool me down immediately.","1=Strongly disagree ... 7=Strongly agree","{""factor"":""SIS_C""}"
A21,Arousal (SES/SIS),likert7,"If privacy is not assured (recording, sharing), I disengage.","1=Strongly disagree ... 7=Strongly agree","{""factor"":""SIS_C""}"
A22,Arousal (SES/SIS),likert7,"If cleanup or logistics feel complicated, I lose interest.","1=Strongly disagree ... 7=Strongly agree","{""factor"":""SIS_C""}"
