id,chapter,type,prompt,options,maps
A1,Arousal & Power,likert7,"I am easily aroused by erotic sensory cues (touch, scent, visuals).","1=Strongly disagree ... 7=Strongly agree","{""factor"":""SE""}"
A2,Arousal & Power,likert7,"I quickly respond to erotic stimuli or situations.","1=Strongly disagree ... 7=Strongly agree","{""factor"":""SE""}"
A3,Arousal & Power,likert7,"Erotic thoughts or fantasies easily turn me on.","1=Strongly disagree ... 7=Strongly agree","{""factor"":""SE""}"
A4,Arousal & Power,likert7,"My partner's arousal increases my own arousal.","1=Strongly disagree ... 7=Strongly agree","{""factor"":""SE""}"
A5,Arousal & Power,likert7,"My arousal decreases if I'm worried about my performance.","1=Strongly disagree ... 7=Strongly agree","{""factor"":""SIS_P""}"
A6,Arousal & Power,likert7,"My arousal decreases if I'm uncertain what my partner wants.","1=Strongly disagree ... 7=Strongly agree","{""factor"":""SIS_P""}"
A7,Arousal & Power,likert7,"Concerns about technique decrease my arousal.","1=Strongly disagree ... 7=Strongly agree","{""factor"":""SIS_P""}"
A8,Arousal & Power,likert7,"Pressure to perform reduces my arousal.","1=Strongly disagree ... 7=Strongly agree","{""factor"":""SIS_P""}"
A9,Arousal & Power,likert7,"My arousal drops if I'm worried about being caught or interrupted.","1=Strongly disagree ... 7=Strongly agree","{""factor"":""SIS_C""}"
A10,Arousal & Power,likert7,"In the moment privacy concerns reduce my arousal.","1=Strongly disagree ... 7=Strongly agree","{""factor"":""SIS_C""}"
A11,Arousal & Power,likert7,"Fear of judgment reduces my arousal.","1=Strongly disagree ... 7=Strongly agree","{""factor"":""SIS_C""}"
A12,Arousal & Power,likert7,"If potential consequences feel risky, my arousal drops.","1=Strongly disagree ... 7=Strongly agree","{""factor"":""SIS_C""}"
A13,Arousal & Power,likert7,"I enjoy giving clear direction or commands during intimate activities.","1=Strongly disagree ... 7=Strongly agree","{""factor"":""POWER_TOP""}"
A14,Arousal & Power,likert7,"I enjoy following direction or commands during intimate activities.","1=Strongly disagree ... 7=Strongly agree","{""factor"":""POWER_BOTTOM""}"
A15,Arousal & Power,likert7,"I like being in the dominant role during intimate scenarios.","1=Strongly disagree ... 7=Strongly agree","{""factor"":""POWER_TOP""}"
A16,Arousal & Power,likert7,"I like being in the submissive role during intimate scenarios.","1=Strongly disagree ... 7=Strongly agree","{""factor"":""POWER_BOTTOM""}"
B1a,Physical Touch,chooseYMN,"Massage (receiving).","Y=Yes,M=Maybe,N=No","{""category"":""physical_touch"",""activity"":""massage_receive"",""direction"":""on_me"",""intensity"":""gentle""}"
B1b,Physical Touch,chooseYMN,"Massage (giving).","Y=Yes,M=Maybe,N=No","{""category"":""physical_touch"",""activity"":""massage_give"",""direction"":""i_do"",""intensity"":""gentle""}"
B2a,Physical Touch,chooseYMN,"Hair pulling - gentle (my hair pulled).","Y=Yes,M=Maybe,N=No","{""category"":""physical_touch"",""activity"":""hair_pull_gentle_receive"",""direction"":""on_me"",""intensity"":""gentle""}"
B2b,Physical Touch,chooseYMN,"Hair pulling - gentle (I pull).","Y=Yes,M=Maybe,N=No","{""category"":""physical_touch"",""activity"":""hair_pull_gentle_give"",""direction"":""i_do"",""intensity"":""gentle""}"
B3a,Physical Touch,chooseYMN,"Biting or scratching - moderate (on me).","Y=Yes,M=Maybe,N=No","{""category"":""physical_touch"",""activity"":""biting_moderate_receive"",""direction"":""on_me"",""intensity"":""moderate""}"
B3b,Physical Touch,chooseYMN,"Biting or scratching - moderate (I do).","Y=Yes,M=Maybe,N=No","{""category"":""physical_touch"",""activity"":""biting_moderate_give"",""direction"":""i_do"",""intensity"":""moderate""}"
B4a,Physical Touch,chooseYMN,"Spanking - moderate (on me).","Y=Yes,M=Maybe,N=No","{""category"":""physical_touch"",""activity"":""spanking_moderate_receive"",""direction"":""on_me"",""intensity"":""moderate"",""facet"":""IMPACT""}"
B4b,Physical Touch,chooseYMN,"Spanking - moderate (I deliver).","Y=Yes,M=Maybe,N=No","{""category"":""physical_touch"",""activity"":""spanking_moderate_give"",""direction"":""i_do"",""intensity"":""moderate"",""facet"":""IMPACT""}"
B5a,Physical Touch,chooseYMN,"Using hands/fingers on genitals (on me).","Y=Yes,M=Maybe,N=No","{""category"":""physical_touch"",""activity"":""hands_genitals_receive"",""direction"":""on_me"",""intensity"":""moderate""}"
B5b,Physical Touch,chooseYMN,"Using hands/fingers on partner's genitals (I do).","Y=Yes,M=Maybe,N=No","{""category"":""physical_touch"",""activity"":""hands_genitals_give"",""direction"":""i_do"",""intensity"":""moderate""}"
B6a,Physical Touch,chooseYMN,"Spanking - hard (on me).","Y=Yes,M=Maybe,N=No","{""category"":""physical_touch"",""activity"":""spanking_hard_receive"",""direction"":""on_me"",""intensity"":""intense"",""facet"":""IMPACT""}"
B6b,Physical Touch,chooseYMN,"Spanking - hard (I deliver).","Y=Yes,M=Maybe,N=No","{""category"":""physical_touch"",""activity"":""spanking_hard_give"",""direction"":""i_do"",""intensity"":""intense"",""facet"":""IMPACT""}"
B7a,Physical Touch,chooseYMN,"Slapping (face or body) (on me).","Y=Yes,M=Maybe,N=No","{""category"":""physical_touch"",""activity"":""slapping_receive"",""direction"":""on_me"",""intensity"":""extreme"",""facet"":""IMPACT""}"
B7b,Physical Touch,chooseYMN,"Slapping (face or body) (I deliver).","Y=Yes,M=Maybe,N=No","{""category"":""physical_touch"",""activity"":""slapping_give"",""direction"":""i_do"",""intensity"":""extreme"",""facet"":""IMPACT""}"
B8a,Physical Touch,chooseYMN,"Choking or breath play (on me).","Y=Yes,M=Maybe,N=No","{""category"":""physical_touch"",""activity"":""choking_receive"",""direction"":""on_me"",""intensity"":""extreme"",""tag"":""BREATH_PLAY""}"
B8b,Physical Touch,chooseYMN,"Choking or breath play (I do).","Y=Yes,M=Maybe,N=No","{""category"":""physical_touch"",""activity"":""choking_give"",""direction"":""i_do"",""intensity"":""extreme"",""tag"":""BREATH_PLAY""}"
B9a,Physical Touch,chooseYMN,"Spitting (on me).","Y=Yes,M=Maybe,N=No","{""category"":""physical_touch"",""activity"":""spitting_receive"",""direction"":""on_me"",""intensity"":""extreme"",""facet"":""NOVELTY""}"
B9b,Physical Touch,chooseYMN,"Spitting (I do).","Y=Yes,M=Maybe,N=No","{""category"":""physical_touch"",""activity"":""spitting_give"",""direction"":""i_do"",""intensity"":""extreme"",""facet"":""NOVELTY""}"
B10a,Physical Touch,chooseYMN,"Watersports/golden showers (on me).","Y=Yes,M=Maybe,N=No","{""category"":""physical_touch"",""activity"":""watersports_receive"",""direction"":""on_me"",""intensity"":""extreme"",""tag"":""EXPLICIT_FLUIDS"",""facet"":""NOVELTY""}"
B10b,Physical Touch,chooseYMN,"Watersports/golden showers (I do).","Y=Yes,M=Maybe,N=No","{""category"":""physical_touch"",""activity"":""watersports_give"",""direction"":""i_do"",""intensity"":""extreme"",""tag"":""EXPLICIT_FLUIDS"",""facet"":""NOVELTY""}"
B11a,Oral Activities,chooseYMN,"Oral sex on genitals (receiving).","Y=Yes,M=Maybe,N=No","{""category"":""oral"",""activity"":""oral_sex_receive"",""direction"":""on_me""}"
B11b,Oral Activities,chooseYMN,"Oral sex on genitals (giving).","Y=Yes,M=Maybe,N=No","{""category"":""oral"",""activity"":""oral_sex_give"",""direction"":""i_do""}"
B12a,Oral Activities,chooseYMN,"Oral stimulation on other body parts - chest, neck, ears, inner thighs, etc. (on me).","Y=Yes,M=Maybe,N=No","{""category"":""oral"",""activity"":""oral_body_receive"",""direction"":""on_me"",""facet"":""SENSUAL""}"
B12b,Oral Activities,chooseYMN,"Oral stimulation on other body parts (I do).","Y=Yes,M=Maybe,N=No","{""category"":""oral"",""activity"":""oral_body_give"",""direction"":""i_do"",""facet"":""SENSUAL""}"
B13a,Anal Activities,chooseYMN,"Anal stimulation with fingers or small toys (on me).","Y=Yes,M=Maybe,N=No","{""category"":""anal"",""activity"":""anal_fingers_toys_receive"",""direction"":""on_me"",""tag"":""ANAL_STIM"",""facet"":""TOYS""}"
B13b,Anal Activities,chooseYMN,"Anal stimulation with fingers or small toys (I do).","Y=Yes,M=Maybe,N=No","{""category"":""anal"",""activity"":""anal_fingers_toys_give"",""direction"":""i_do"",""tag"":""ANAL_STIM"",""facet"":""TOYS""}"
B14a,Anal Activities,chooseYMN,"Rimming - oral stimulation of anus (on me).","Y=Yes,M=Maybe,N=No","{""category"":""anal"",""activity"":""rimming_receive"",""direction"":""on_me"",""tag"":""RIMMING"",""facet"":""TOYS""}"
B14b,Anal Activities,chooseYMN,"Rimming - oral stimulation of anus (I do).","Y=Yes,M=Maybe,N=No","{""category"":""anal"",""activity"":""rimming_give"",""direction"":""i_do"",""tag"":""RIMMING"",""facet"":""TOYS""}"
B15a,Power Exchange,chooseYMN,"Being restrained (hands held, ties, cuffs, rope) (on me).","Y=Yes,M=Maybe,N=No","{""category"":""power_exchange"",""activity"":""restraints_receive"",""direction"":""on_me"",""facet"":""BONDAGE""}"
B15b,Power Exchange,chooseYMN,"Restraining partner (I do).","Y=Yes,M=Maybe,N=No","{""category"":""power_exchange"",""activity"":""restraints_give"",""direction"":""i_do"",""facet"":""BONDAGE""}"
B16a,Power Exchange,chooseYMN,"Blindfolding or sensory deprivation (on me).","Y=Yes,M=Maybe,N=No","{""category"":""power_exchange"",""activity"":""blindfold_receive"",""direction"":""on_me"",""facet"":""BONDAGE""}"
B16b,Power Exchange,chooseYMN,"Blindfolding or sensory deprivation (I do).","Y=Yes,M=Maybe,N=No","{""category"":""power_exchange"",""activity"":""blindfold_give"",""direction"":""i_do"",""facet"":""BONDAGE""}"
B17a,Power Exchange,chooseYMN,"Orgasm control - edging, denial, forced orgasm (on me).","Y=Yes,M=Maybe,N=No","{""category"":""power_exchange"",""activity"":""orgasm_control_receive"",""direction"":""on_me"",""facet"":""ROLEPLAY""}"
B17b,Power Exchange,chooseYMN,"Orgasm control - edging, denial, forced orgasm (I control).","Y=Yes,M=Maybe,N=No","{""category"":""power_exchange"",""activity"":""orgasm_control_give"",""direction"":""i_do"",""facet"":""ROLEPLAY""}"
B18a,Power Exchange,chooseYMN,"Following strict commands or protocols during intimate play (I follow).","Y=Yes,M=Maybe,N=No","{""category"":""power_exchange"",""activity"":""protocols_receive"",""direction"":""on_me"",""facet"":""ROLEPLAY""}"
B18b,Power Exchange,chooseYMN,"Giving strict commands or protocols during intimate play (I give).","Y=Yes,M=Maybe,N=No","{""category"":""power_exchange"",""activity"":""protocols_give"",""direction"":""i_do"",""facet"":""ROLEPLAY""}"
B19,Verbal & Roleplay,chooseYMN,"Dirty talk or explicit language during intimate activities.","Y=Yes,M=Maybe,N=No","{""category"":""verbal_roleplay"",""activity"":""dirty_talk"",""facet"":""ROLEPLAY""}"
B20,Verbal & Roleplay,chooseYMN,"Moaning or vocal encouragement.","Y=Yes,M=Maybe,N=No","{""category"":""verbal_roleplay"",""activity"":""moaning"",""facet"":""SENSUAL""}"
B21,Verbal & Roleplay,chooseYMN,"Roleplay scenarios (boss/employee, strangers, teacher/student, etc.).","Y=Yes,M=Maybe,N=No","{""category"":""verbal_roleplay"",""activity"":""roleplay"",""facet"":""ROLEPLAY""}"
B22a,Verbal & Roleplay,chooseYMN,"Receiving/following commands during intimate play (I follow).","Y=Yes,M=Maybe,N=No","{""category"":""verbal_roleplay"",""activity"":""commands_receive"",""direction"":""on_me"",""facet"":""ROLEPLAY""}"
B22b,Verbal & Roleplay,chooseYMN,"Giving commands during intimate play (I give).","Y=Yes,M=Maybe,N=No","{""category"":""verbal_roleplay"",""activity"":""commands_give"",""direction"":""i_do"",""facet"":""ROLEPLAY""}"
B23a,Verbal & Roleplay,chooseYMN,"Begging or pleading - me doing the begging (I beg).","Y=Yes,M=Maybe,N=No","{""category"":""verbal_roleplay"",""activity"":""begging_receive"",""direction"":""on_me"",""facet"":""ROLEPLAY""}"
B23b,Verbal & Roleplay,chooseYMN,"Begging or pleading - hearing my partner beg (I hear/enjoy).","Y=Yes,M=Maybe,N=No","{""category"":""verbal_roleplay"",""activity"":""begging_give"",""direction"":""i_do"",""facet"":""ROLEPLAY""}"
B24a,Display & Performance,chooseYMN,"Stripping or undressing slowly (me performing).","Y=Yes,M=Maybe,N=No","{""category"":""display_performance"",""activity"":""stripping_self"",""direction"":""on_me"",""facet"":""EXHIBITION""}"
B24b,Display & Performance,chooseYMN,"Watching partner strip (I watch).","Y=Yes,M=Maybe,N=No","{""category"":""display_performance"",""activity"":""watching_strip"",""direction"":""i_do"",""facet"":""VOYEUR""}"
B25a,Display & Performance,chooseYMN,"Being watched during solo pleasure (me).","Y=Yes,M=Maybe,N=No","{""category"":""display_performance"",""activity"":""solo_pleasure_self"",""direction"":""on_me"",""facet"":""EXHIBITION""}"
